contract_id,product,state,subscription_date,effective_date,annual_premium,end_date,subscriber_id,beneficiary_code,person_id,guarantee,segment,file_rate_year_1
AN-NOUVEAU,VA-COMPAGNON,En cours,2026-02-06,2026-03-01,514,,SOUS-AN-NOUVEAU,01,PERS-AN-NOUVEAU,BASE,,
AN-STABLE,VA-COMPAGNON,En cours,2025-10-19,2025-11-01,528,,SOUS-AN-STABLE,01,PERS-AN-STABLE,BASE,,
AN-SANS-EFFET,VA-COMPAGNON-PLUS,Sans effet,2026-01-22,2026-02-01,232,,SOUS-AN-SANS-EFFET,01,PERS-AN-SANS-EFFET,BASE,,
AN-RESILIE,VA-COMPAGNON,Résilié,2025-08-15,2025-09-01,379,2026-03-15,SOUS-AN-RESILIE,01,PERS-AN-RESILIE,BASE,,
AN-RESILIE-SANS-HISTORIQUE,VA-COMPAGNON-PLUS,Résilié,2025-11-22,2025-12-01,503,2026-03-10,SOUS-AN-RESILIE-SANS-HISTORIQUE,01,PERS-AN-RESILIE-SANS-HISTORIQUE,BASE,,
AN-ANOMALIE,VA-COMPAGNON-PLUS,Résilié,2025-12-24,2026-01-01,315,2026-03-01,SOUS-AN-ANOMALIE,01,PERS-AN-ANOMALIE,BASE,,
AN-ANCIEN,VA-COMPAGNON-PLUS,En cours,2024-12-31,2025-01-15,470,,SOUS-AN-ANCIEN,01,PERS-AN-ANCIEN,BASE,,
AN-TROP-ANCIEN,VA-COMPAGNON-PLUS,En cours,2024-08-28,2024-09-01,426,,SOUS-AN-TROP-ANCIEN,01,PERS-AN-TROP-ANCIEN,BASE,,
AN-HAUSSE-PRIME,VA-COMPAGNON-PLUS,En cours,2025-12-08,2026-01-01,634.70,,SOUS-AN-HAUSSE-PRIME,01,PERS-AN-HAUSSE-PRIME,BASE,,
AN-BAISSE-PRIME,VA-COMPAGNON-PLUS,En cours,2025-12-05,2026-01-01,498.10,,SOUS-AN-BAISSE-PRIME,01,PERS-AN-BAISSE-PRIME,BASE,,
AN-DUREE-NULLE,VA-COMPAGNON-PLUS,En cours,2026-02-15,2026-03-05,189,2026-03-05,SOUS-AN-DUREE-NULLE,01,PERS-AN-DUREE-NULLE,BASE,,
AN-PRODUIT-INCONNU,PRODUIT-INCONNU,En cours,2026-02-27,2026-03-01,293,,SOUS-AN-PRODUIT-INCONNU,01,PERS-AN-PRODUIT-INCONNU,BASE,,
MIG-AN-NOUVEAU,VA-COMPAGNON,En cours,2026-02-10,2026-03-01,369,,SOUS-MIG-AN-NOUVEAU,01,PERS-MIG-AN-NOUVEAU,BASE,,
AN-0001,VA-COMPAGNON,En cours,2025-05-09,2025-05-30,504,,SOUS-AN-0001,01,PERS-AN-0001,BASE,,
AN-0002,VA-COMPAGNON-PLUS,En cours,2025-11-14,2025-11-22,146,,SOUS-AN-0002,01,PERS-AN-0002,BASE,,
AN-0003,VA-COMPAGNON,Mis en demeure,2025-12-26,2025-12-26,239,,SOUS-AN-0003,01,PERS-AN-0003,BASE,,
AN-0004,VA-COMPAGNON-PLUS,En cours,2025-10-26,2025-10-27,523,,SOUS-AN-0004,01,PERS-AN-0004,BASE,,
AN-0005,VA-COMPAGNON,En cours,2025-05-06,2025-05-24,325,,SOUS-AN-0005,01,PERS-AN-0005,BASE,,
AN-0006,VA-COMPAGNON,Suspendu,2025-06-29,2025-07-05,264,,SOUS-AN-0006,01,PERS-AN-0006,BASE,,
AN-0007,VA-COMPAGNON-PLUS,En cours,2025-10-18,2025-10-23,215,,SOUS-AN-0007,01,PERS-AN-0007,BASE,,
AN-0008,VA-COMPAGNON-PLUS,En cours,2025-07-27,2025-08-05,264,,SOUS-AN-0008,01,PERS-AN-0008,BASE,,
AN-0009,VA-COMPAGNON,Résilié,2025-07-23,2025-08-02,168,2026-03-06,SOUS-AN-0009,01,PERS-AN-0009,BASE,,
AN-0010,VA-COMPAGNON,Résilié,2025-07-16,2025-08-12,196,2026-03-09,SOUS-AN-0010,01,PERS-AN-0010,BASE,,
AN-0011,VA-COMPAGNON,En cours,2025-09-20,2025-10-09,340,,SOUS-AN-0011,01,PERS-AN-0011,BASE,,
AN-0012,VA-COMPAGNON,Suspendu,2025-04-09,2025-05-08,387,,SOUS-AN-0012,01,PERS-AN-0012,BASE,,
AN-0013,VA-COMPAGNON-PLUS,En cours,2025-04-30,2025-05-06,398,,SOUS-AN-0013,01,PERS-AN-0013,BASE,,
AN-0014,VA-COMPAGNON-PLUS,En cours,2025-05-18,2025-05-31,133,,SOUS-AN-0014,01,PERS-AN-0014,BASE,,
AN-0015,VA-COMPAGNON,Mis en demeure,2025-10-14,2025-10-23,521,,SOUS-AN-0015,01,PERS-AN-0015,BASE,,
AN-0016,VA-COMPAGNON-PLUS,En cours,2025-08-24,2025-09-16,436,,SOUS-AN-0016,01,PERS-AN-0016,BASE,,
AN-0017,VA-COMPAGNON-PLUS,Résilié,2025-09-15,2025-09-18,225,2026-03-12,SOUS-AN-0017,01,PERS-AN-0017,BASE,,
AN-0018,VA-COMPAGNON-PLUS,En cours,2025-09-12,2025-09-27,156,,SOUS-AN-0018,01,PERS-AN-0018,BASE,,
AN-0019,VA-COMPAGNON,En cours,2025-06-24,2025-07-22,178,,SOUS-AN-0019,01,PERS-AN-0019,BASE,,
AN-0020,VA-COMPAGNON-PLUS,Résilié,2025-12-14,2025-12-21,379,2026-03-28,SOUS-AN-0020,01,PERS-AN-0020,BASE,,
AN-0021,VA-COMPAGNON,En cours,2026-01-02,2026-01-12,275,,SOUS-AN-0021,01,PERS-AN-0021,BASE,,
AN-0022,VA-COMPAGNON-PLUS,Résilié,2025-08-15,2025-09-07,237,2026-03-17,SOUS-AN-0022,01,PERS-AN-0022,BASE,,
AN-0023,VA-COMPAGNON,En cours,2025-06-27,2025-07-12,532,,SOUS-AN-0023,01,PERS-AN-0023,BASE,,
AN-0024,VA-COMPAGNON,En cours,2025-10-26,2025-11-13,216,,SOUS-AN-0024,01,PERS-AN-0024,BASE,,
AN-0025,VA-COMPAGNON,Mis en demeure,2025-09-13,2025-10-04,338,,SOUS-AN-0025,01,PERS-AN-0025,BASE,,
AN-0026,VA-COMPAGNON,En cours,2026-02-24,2026-03-22,271,,SOUS-AN-0026,01,PERS-AN-0026,BASE,,
AN-0027,VA-COMPAGNON-PLUS,En cours,2026-03-19,2026-03-30,515,,SOUS-AN-0027,01,PERS-AN-0027,BASE,,
AN-0028,VA-COMPAGNON,En cours,2026-03-12,2026-03-31,457,,SOUS-AN-0028,01,PERS-AN-0028,BASE,,
AN-0029,VA-COMPAGNON-PLUS,En cours,2026-03-09,2026-03-14,479,,SOUS-AN-0029,01,PERS-AN-0029,BASE,,
AN-0030,VA-COMPAGNON-PLUS,En cours,2026-03-09,2026-03-24,205,,SOUS-AN-0030,01,PERS-AN-0030,BASE,,
AN-0031,VA-COMPAGNON,En cours,2026-03-08,2026-03-20,124,,SOUS-AN-0031,01,PERS-AN-0031,BASE,,
AN-0032,VA-COMPAGNON,En cours,2026-02-25,2026-03-22,124,,SOUS-AN-0032,01,PERS-AN-0032,BASE,,
AN-0033,VA-COMPAGNON,En cours,2026-03-10,2026-03-17,208,,SOUS-AN-0033,01,PERS-AN-0033,BASE,,
