contract_id,product,subscription_date,effective_date,period_start,amount_excl_tax,movement,premium_type
AN-NOUVEAU,VA-COMPAGNON,2026-02-18,2026-03-01,2026-03-01,42.83,C01,P1
AN-STABLE,VA-COMPAGNON,2025-10-02,2025-11-01,2026-03-01,44.00,C01,P1
AN-ANCIEN,VA-COMPAGNON-PLUS,2025-01-05,2025-01-15,2026-03-01,39.17,C01,P1
AN-TROP-ANCIEN,VA-COMPAGNON-PLUS,2024-08-06,2024-09-01,2026-03-01,35.50,C01,P1
AN-HAUSSE-PRIME,VA-COMPAGNON-PLUS,2025-12-08,2026-01-01,2026-03-01,52.89,C01,P1
AN-BAISSE-PRIME,VA-COMPAGNON-PLUS,2025-12-20,2026-01-01,2026-03-01,41.51,C01,P1
AN-PRODUIT-INCONNU,PRODUIT-INCONNU,2026-02-20,2026-03-01,2026-03-01,24.42,C01,P1
MIG-AN-NOUVEAU,VA-COMPAGNON,2026-02-24,2026-03-01,2026-03-01,30.75,C01,P1
AN-0001,VA-COMPAGNON,2025-05-17,2025-05-30,2026-03-01,42.00,C01,P1
AN-0002,VA-COMPAGNON-PLUS,2025-10-30,2025-11-22,2026-03-01,12.17,C01,P1
AN-0003,VA-COMPAGNON,2025-12-15,2025-12-26,2026-03-01,19.92,C01,P1
AN-0004,VA-COMPAGNON-PLUS,2025-09-27,2025-10-27,2026-03-01,43.58,C01,P1
AN-0005,VA-COMPAGNON,2025-05-18,2025-05-24,2026-03-01,27.08,C01,P1
AN-0006,VA-COMPAGNON,2025-07-05,2025-07-05,2026-03-01,22.00,C01,P1
AN-0007,VA-COMPAGNON-PLUS,2025-10-14,2025-10-23,2026-03-01,17.92,C01,P1
AN-0008,VA-COMPAGNON-PLUS,2025-07-20,2025-08-05,2026-03-01,22.00,C01,P1
AN-0011,VA-COMPAGNON,2025-09-27,2025-10-09,2026-03-01,28.33,C01,P1
AN-0012,VA-COMPAGNON,2025-04-29,2025-05-08,2026-03-01,32.25,C01,P1
AN-0013,VA-COMPAGNON-PLUS,2025-04-11,2025-05-06,2026-03-01,33.17,C01,P1
AN-0014,VA-COMPAGNON-PLUS,2025-05-16,2025-05-31,2026-03-01,11.08,C01,P1
AN-0015,VA-COMPAGNON,2025-09-27,2025-10-23,2026-03-01,43.42,C01,P1
AN-0016,VA-COMPAGNON-PLUS,2025-08-21,2025-09-16,2026-03-01,36.33,C01,P1
AN-0018,VA-COMPAGNON-PLUS,2025-09-12,2025-09-27,2026-03-01,13.00,C01,P1
AN-0019,VA-COMPAGNON,2025-06-24,2025-07-22,2026-03-01,14.83,C01,P1
AN-0021,VA-COMPAGNON,2025-12-26,2026-01-12,2026-03-01,22.92,C01,P1
AN-0023,VA-COMPAGNON,2025-06-13,2025-07-12,2026-03-01,44.33,C01,P1
AN-0024,VA-COMPAGNON,2025-10-27,2025-11-13,2026-03-01,18.00,C01,P1
AN-0025,VA-COMPAGNON,2025-09-17,2025-10-04,2026-03-01,28.17,C01,P1
AN-PORTEFEUILLE-001,VA-COMPAGNON-PLUS,2023-07-27,2023-08-12,2026-03-01,37.75,C01,P1
AN-PORTEFEUILLE-002,VA-COMPAGNON-PLUS,2024-02-09,2024-02-11,2026-03-01,25.83,C01,P1
AN-PORTEFEUILLE-003,VA-COMPAGNON-PLUS,2024-06-01,2024-06-24,2026-03-01,12.17,C01,P1
AN-PORTEFEUILLE-004,VA-COMPAGNON-PLUS,2023-11-01,2023-11-23,2026-03-01,25.25,C01,P1
AN-PORTEFEUILLE-005,VA-COMPAGNON,2023-11-19,2023-11-24,2026-03-01,21.83,C01,P1
AN-PORTEFEUILLE-006,VA-COMPAGNON,2023-12-20,2023-12-21,2026-03-01,16.17,C01,P1
AN-PORTEFEUILLE-007,VA-COMPAGNON,2022-12-27,2023-01-25,2026-03-01,10.42,C01,P1
AN-PORTEFEUILLE-008,VA-COMPAGNON-PLUS,2022-11-06,2022-12-06,2026-03-01,42.92,C01,P1
AN-PORTEFEUILLE-009,VA-COMPAGNON-PLUS,2022-11-13,2022-11-23,2026-03-01,42.58,C01,P1
AN-PORTEFEUILLE-010,VA-COMPAGNON-PLUS,2022-09-18,2022-10-07,2026-03-01,12.08,C01,P1
AN-PORTEFEUILLE-011,VA-COMPAGNON,2022-05-17,2022-06-09,2026-03-01,26.25,C01,P1
AN-PORTEFEUILLE-012,VA-COMPAGNON,2023-04-25,2023-05-02,2026-03-01,40.08,C01,P1
AN-PORTEFEUILLE-013,VA-COMPAGNON-PLUS,2022-08-25,2022-08-26,2026-03-01,33.08,C01,P1
AN-PORTEFEUILLE-014,VA-COMPAGNON-PLUS,2024-03-16,2024-04-01,2026-03-01,27.33,C01,P1
AN-PORTEFEUILLE-015,VA-COMPAGNON,2023-10-09,2023-10-23,2026-03-01,41.17,C01,P1
AN-ANNULATION,VA-COMPAGNON,2023-04-20,2023-05-01,2026-03-01,-75.00,A01,P1
AN-EXTOURNE,VA-COMPAGNON,2023-04-04,2023-05-01,2026-03-01,-50.00,E01,P1
AN-COTISATION-P2,VA-COMPAGNON,2023-04-21,2023-05-01,2026-03-01,100.00,C01,P2
