contract_id,product,state,subscription_date,effective_date,annual_premium,end_date,subscriber_id,beneficiary_code,person_id,guarantee,segment,file_rate_year_1
DE-STABLE,CA-AUTONOMIE,En cours,2025-10-31,2025-11-01,1142,,SOUS-DE-STABLE,01,PERS-DE-STABLE,BASE,,
DE-SANS-EFFET,CA-AUTONOMIE,En cours,2026-01-07,2026-02-01,412,,SOUS-DE-SANS-EFFET,01,PERS-DE-SANS-EFFET,BASE,,
DE-RESILIE,CA-AUTONOMIE,En cours,2025-08-30,2025-09-01,1040,,SOUS-DE-RESILIE,01,PERS-DE-RESILIE,BASE,,
DE-ANOMALIE,CA-AUTONOMIE,Sans effet,2026-01-01,2026-01-01,1558,,SOUS-DE-ANOMALIE,01,PERS-DE-ANOMALIE,BASE,,
DE-HAUSSE-PRIME,CA-AUTONOMIE,En cours,2025-12-03,2026-01-01,942,,SOUS-DE-HAUSSE-PRIME,01,PERS-DE-HAUSSE-PRIME,BASE,,
DE-BAISSE-PRIME,CA-AUTONOMIE,En cours,2025-12-13,2026-01-01,1088,,SOUS-DE-BAISSE-PRIME,01,PERS-DE-BAISSE-PRIME,BASE,,
DE-0001,CA-AUTONOMIE,En cours,2025-05-24,2025-06-22,601,,SOUS-DE-0001,01,PERS-DE-0001,BASE,,
DE-0002,CA-AUTONOMIE,Mis en demeure,2025-05-26,2025-06-21,1344,,SOUS-DE-0002,01,PERS-DE-0002,BASE,,
DE-0003,CA-AUTONOMIE,En cours,2025-12-21,2026-01-11,1381,,SOUS-DE-0003,01,PERS-DE-0003,BASE,,
DE-0004,CA-AUTONOMIE,Mis en demeure,2025-07-18,2025-07-25,1472,,SOUS-DE-0004,01,PERS-DE-0004,BASE,,
DE-0005,CA-AUTONOMIE,Mis en demeure,2025-08-25,2025-09-21,1539,,SOUS-DE-0005,01,PERS-DE-0005,BASE,,
DE-0006,CA-AUTONOMIE,En cours,2025-05-27,2025-06-21,866,,SOUS-DE-0006,01,PERS-DE-0006,BASE,,
DE-0007,CA-AUTONOMIE,En cours,2025-07-21,2025-08-19,901,,SOUS-DE-0007,01,PERS-DE-0007,BASE,,
DE-0008,CA-AUTONOMIE,Mis en demeure,2025-09-11,2025-10-02,641,,SOUS-DE-0008,01,PERS-DE-0008,BASE,,
DE-0009,CA-AUTONOMIE,En cours,2025-09-13,2025-10-05,1495,,SOUS-DE-0009,01,PERS-DE-0009,BASE,,
DE-0010,CA-AUTONOMIE,En cours,2025-10-10,2025-10-25,1462,,SOUS-DE-0010,01,PERS-DE-0010,BASE,,
DE-0011,CA-AUTONOMIE,En cours,2026-01-11,2026-01-29,1251,,SOUS-DE-0011,01,PERS-DE-0011,BASE,,
DE-0012,CA-AUTONOMIE,Mis en demeure,2025-05-24,2025-06-09,1199,,SOUS-DE-0012,01,PERS-DE-0012,BASE,,
DE-0013,CA-AUTONOMIE,En cours,2025-09-25,2025-10-18,868,,SOUS-DE-0013,01,PERS-DE-0013,BASE,,
DE-0014,CA-AUTONOMIE,Suspendu,2025-04-27,2025-05-11,469,,SOUS-DE-0014,01,PERS-DE-0014,BASE,,
DE-0015,CA-AUTONOMIE,En cours,2025-10-24,2025-11-14,765,,SOUS-DE-0015,01,PERS-DE-0015,BASE,,
DE-0016,CA-AUTONOMIE,En cours,2025-10-30,2025-11-10,1047,,SOUS-DE-0016,01,PERS-DE-0016,BASE,,
DE-0017,CA-AUTONOMIE,En cours,2025-04-11,2025-05-03,1038,,SOUS-DE-0017,01,PERS-DE-0017,BASE,,
DE-0018,CA-AUTONOMIE,En cours,2025-05-18,2025-05-30,1054,,SOUS-DE-0018,01,PERS-DE-0018,BASE,,
DE-0019,CA-AUTONOMIE,En cours,2025-05-01,2025-05-08,1033,,SOUS-DE-0019,01,PERS-DE-0019,BASE,,
DE-0020,CA-AUTONOMIE,Suspendu,2025-12-10,2025-12-11,587,,SOUS-DE-0020,01,PERS-DE-0020,BASE,,
DE-0021,CA-AUTONOMIE,Suspendu,2025-12-02,2025-12-24,720,,SOUS-DE-0021,01,PERS-DE-0021,BASE,,
DE-0022,CA-AUTONOMIE,En cours,2025-05-24,2025-06-04,1495,,SOUS-DE-0022,01,PERS-DE-0022,BASE,,
DE-0023,CA-AUTONOMIE,Suspendu,2025-06-06,2025-06-28,1085,,SOUS-DE-0023,01,PERS-DE-0023,BASE,,
DE-0024,CA-AUTONOMIE,Suspendu,2025-08-04,2025-08-24,1537,,SOUS-DE-0024,01,PERS-DE-0024,BASE,,
DE-0025,CA-AUTONOMIE,En cours,2025-05-31,2025-06-21,799,,SOUS-DE-0025,01,PERS-DE-0025,BASE,,
