contract_id,product,subscription_date,effective_date,period_start,amount_excl_tax,movement,premium_type
DE-NOUVEAU,CA-AUTONOMIE,2026-02-13,2026-03-01,2026-03-01,125.33,C01,P1
DE-STABLE,CA-AUTONOMIE,2025-10-09,2025-11-01,2026-03-01,95.17,C01,P1
DE-ANCIEN,CA-AUTONOMIE,2025-01-11,2025-01-15,2026-03-01,68.67,C01,P1
DE-HAUSSE-PRIME,CA-AUTONOMIE,2025-12-31,2026-01-01,2026-03-01,86.35,C01,P1
DE-BAISSE-PRIME,CA-AUTONOMIE,2025-12-06,2026-01-01,2026-03-01,77.07,C01,P1
DE-PRODUIT-INCONNU,PRODUIT-INCONNU,2026-02-12,2026-03-01,2026-03-01,105.92,C01,P1
DE-0001,CA-AUTONOMIE,2025-06-09,2025-06-22,2026-03-01,50.08,C01,P1
DE-0002,CA-AUTONOMIE,2025-05-30,2025-06-21,2026-03-01,112.00,C01,P1
DE-0004,CA-AUTONOMIE,2025-07-04,2025-07-25,2026-03-01,122.67,C01,P1
DE-0006,CA-AUTONOMIE,2025-06-21,2025-06-21,2026-03-01,72.17,C01,P1
DE-0007,CA-AUTONOMIE,2025-08-10,2025-08-19,2026-03-01,75.08,C01,P1
DE-0010,CA-AUTONOMIE,2025-10-11,2025-10-25,2026-03-01,121.83,C01,P1
DE-0011,CA-AUTONOMIE,2026-01-22,2026-01-29,2026-03-01,104.25,C01,P1
DE-0012,CA-AUTONOMIE,2025-05-15,2025-06-09,2026-03-01,99.92,C01,P1
DE-0013,CA-AUTONOMIE,2025-10-07,2025-10-18,2026-03-01,72.33,C01,P1
DE-0014,CA-AUTONOMIE,2025-05-09,2025-05-11,2026-03-01,39.08,C01,P1
DE-0015,CA-AUTONOMIE,2025-10-24,2025-11-14,2026-03-01,63.75,C01,P1
DE-0016,CA-AUTONOMIE,2025-10-15,2025-11-10,2026-03-01,87.25,C01,P1
DE-0017,CA-AUTONOMIE,2025-05-01,2025-05-03,2026-03-01,86.50,C01,P1
DE-0018,CA-AUTONOMIE,2025-05-19,2025-05-30,2026-03-01,87.83,C01,P1
DE-0019,CA-AUTONOMIE,2025-04-22,2025-05-08,2026-03-01,86.08,C01,P1
DE-0022,CA-AUTONOMIE,2025-05-21,2025-06-04,2026-03-01,124.58,C01,P1
DE-0023,CA-AUTONOMIE,2025-06-13,2025-06-28,2026-03-01,90.42,C01,P1
DE-0024,CA-AUTONOMIE,2025-08-24,2025-08-24,2026-03-01,128.08,C01,P1
DE-0025,CA-AUTONOMIE,2025-06-02,2025-06-21,2026-03-01,66.58,C01,P1
DE-0028,CA-AUTONOMIE,2026-02-03,2026-02-28,2026-03-01,36.42,C01,P1
DE-0029,CA-AUTONOMIE,2026-02-02,2026-02-15,2026-03-01,124.08,C01,P1
DE-0030,CA-AUTONOMIE,2026-02-11,2026-02-19,2026-03-01,84.50,C01,P1
DE-0031,CA-AUTONOMIE,2026-02-26,2026-02-27,2026-03-01,62.42,C01,P1
DE-0032,CA-AUTONOMIE,2026-01-30,2026-02-24,2026-03-01,121.75,C01,P1
DE-0033,CA-AUTONOMIE,2026-02-06,2026-02-16,2026-03-01,66.83,C01,P1
DE-PORTEFEUILLE-001,CA-AUTONOMIE,2023-12-03,2023-12-06,2026-03-01,43.58,C01,P1
DE-PORTEFEUILLE-002,CA-AUTONOMIE,2023-10-15,2023-11-01,2026-03-01,70.50,C01,P1
DE-PORTEFEUILLE-003,CA-AUTONOMIE,2024-06-27,2024-07-12,2026-03-01,65.17,C01,P1
DE-PORTEFEUILLE-004,CA-AUTONOMIE,2022-09-07,2022-09-30,2026-03-01,38.67,C01,P1
DE-PORTEFEUILLE-005,CA-AUTONOMIE,2023-11-26,2023-12-19,2026-03-01,78.25,C01,P1
DE-PORTEFEUILLE-006,CA-AUTONOMIE,2024-12-12,2024-12-15,2026-03-01,39.25,C01,P1
DE-PORTEFEUILLE-007,CA-AUTONOMIE,2022-10-31,2022-11-08,2026-03-01,36.17,C01,P1
DE-PORTEFEUILLE-008,CA-AUTONOMIE,2024-01-24,2024-02-04,2026-03-01,83.08,C01,P1
DE-PORTEFEUILLE-009,CA-AUTONOMIE,2022-11-02,2022-11-27,2026-03-01,40.58,C01,P1
DE-PORTEFEUILLE-010,CA-AUTONOMIE,2024-02-06,2024-02-20,2026-03-01,69.58,C01,P1
DE-PORTEFEUILLE-011,CA-AUTONOMIE,2024-08-22,2024-09-06,2026-03-01,37.92,C01,P1
DE-PORTEFEUILLE-012,CA-AUTONOMIE,2023-11-22,2023-12-18,2026-03-01,33.50,C01,P1
DE-PORTEFEUILLE-013,CA-AUTONOMIE,2024-02-07,2024-03-02,2026-03-01,83.33,C01,P1
DE-PORTEFEUILLE-014,CA-AUTONOMIE,2024-03-15,2024-04-09,2026-03-01,105.00,C01,P1
DE-PORTEFEUILLE-015,CA-AUTONOMIE,2022-12-26,2023-01-02,2026-03-01,106.25,C01,P1
DE-ANNULATION,CA-AUTONOMIE,2023-04-10,2023-05-01,2026-03-01,-75.00,A01,P1
DE-EXTOURNE,CA-AUTONOMIE,2023-04-26,2023-05-01,2026-03-01,-50.00,E01,P1
