contract_id,product,state,subscription_date,effective_date,annual_premium,end_date,subscriber_id,beneficiary_code,person_id,guarantee,segment,file_rate_year_1
EM-NOUVEAU,NE-EMPRUNT-CLASSIQUE,En cours,2026-02-16,2026-03-01,1112,,SOUS-EM-NOUVEAU,01,PERS-EM-NOUVEAU,BASE,PRIMO,0.36
EM-STABLE,NE-EMPRUNT-FLEX,En cours,2025-10-06,2025-11-01,383,,SOUS-EM-STABLE,01,PERS-EM-STABLE,BASE,RACHAT,0.38
EM-SANS-EFFET,NE-EMPRUNT-CLASSIQUE,Sans effet,2026-01-24,2026-02-01,768,,SOUS-EM-SANS-EFFET,01,PERS-EM-SANS-EFFET,BASE,RACHAT,0.38
EM-RESILIE,NE-EMPRUNT-FLEX,Résilié,2025-08-18,2025-09-01,734,2026-03-15,SOUS-EM-RESILIE,01,PERS-EM-RESILIE,BASE,,0.38
EM-RESILIE-SANS-HISTORIQUE,NE-EMPRUNT-FLEX,Résilié,2025-11-27,2025-12-01,303,2026-03-10,SOUS-EM-RESILIE-SANS-HISTORIQUE,01,PERS-EM-RESILIE-SANS-HISTORIQUE,BASE,RACHAT,0.36
EM-ANOMALIE,NE-EMPRUNT-FLEX,Résilié,2025-12-08,2026-01-01,208,2026-03-01,SOUS-EM-ANOMALIE,01,PERS-EM-ANOMALIE,BASE,,0.36
EM-ANCIEN,NE-EMPRUNT-CLASSIQUE,En cours,2024-02-03,2024-03-01,1050,,SOUS-EM-ANCIEN,01,PERS-EM-ANCIEN,BASE,RACHAT,
EM-TROP-ANCIEN,NE-EMPRUNT-CLASSIQUE,En cours,2023-11-30,2023-12-01,1059,,SOUS-EM-TROP-ANCIEN,01,PERS-EM-TROP-ANCIEN,BASE,PRIMO,
EM-HAUSSE-PRIME,NE-EMPRUNT-CLASSIQUE,En cours,2025-12-06,2026-01-01,577.50,,SOUS-EM-HAUSSE-PRIME,01,PERS-EM-HAUSSE-PRIME,BASE,RACHAT,
EM-BAISSE-PRIME,NE-EMPRUNT-CLASSIQUE,En cours,2025-12-29,2026-01-01,1078.65,,SOUS-EM-BAISSE-PRIME,01,PERS-EM-BAISSE-PRIME,BASE,,0.36
EM-DUREE-NULLE,NE-EMPRUNT-CLASSIQUE,En cours,2026-02-22,2026-03-05,1307,2026-03-05,SOUS-EM-DUREE-NULLE,01,PERS-EM-DUREE-NULLE,BASE,,0.38
EM-PRODUIT-INCONNU,PRODUIT-INCONNU,En cours,2026-02-12,2026-03-01,1376,,SOUS-EM-PRODUIT-INCONNU,01,PERS-EM-PRODUIT-INCONNU,BASE,,
EM-TAUX-SPECIFIQUE-1,NE-EMPRUNT-FLEX,En cours,2026-02-18,2026-03-01,1308,,SOUS-EM-TAUX-SPECIFIQUE-1,01,PERS-EM-TAUX-SPECIFIQUE-1,BASE,PRIMO,
EM-TAUX-SPECIFIQUE-2,NE-EMPRUNT-CLASSIQUE,En cours,2026-02-14,2026-03-01,366,,SOUS-EM-TAUX-SPECIFIQUE-2,01,PERS-EM-TAUX-SPECIFIQUE-2,BASE,RACHAT,0.38
EM-0001,NE-EMPRUNT-FLEX,En cours,2025-06-18,2025-06-27,503,,SOUS-EM-0001,01,PERS-EM-0001,BASE,,0.36
EM-0002,NE-EMPRUNT-FLEX,En cours,2025-12-04,2025-12-30,1477,,SOUS-EM-0002,01,PERS-EM-0002,BASE,,0.38
EM-0003,NE-EMPRUNT-FLEX,En cours,2025-07-25,2025-08-24,337,,SOUS-EM-0003,01,PERS-EM-0003,BASE,,0.38
