contract_id,product,subscription_date,effective_date,period_start,amount_excl_tax,movement,premium_type
EM-NOUVEAU,NE-EMPRUNT-CLASSIQUE,2026-02-22,2026-03-01,2026-03-01,92.67,C01,P1
EM-STABLE,NE-EMPRUNT-FLEX,2025-10-21,2025-11-01,2026-03-01,31.92,C01,P1
EM-ANCIEN,NE-EMPRUNT-CLASSIQUE,2024-02-04,2024-03-01,2026-03-01,87.50,C01,P1
EM-TROP-ANCIEN,NE-EMPRUNT-CLASSIQUE,2023-11-30,2023-12-01,2026-03-01,88.25,C01,P1
EM-HAUSSE-PRIME,NE-EMPRUNT-CLASSIQUE,2025-12-24,2026-01-01,2026-03-01,48.13,C01,P1
EM-BAISSE-PRIME,NE-EMPRUNT-CLASSIQUE,2025-12-19,2026-01-01,2026-03-01,89.89,C01,P1
EM-PRODUIT-INCONNU,PRODUIT-INCONNU,2026-02-24,2026-03-01,2026-03-01,114.67,C01,P1
EM-TAUX-SPECIFIQUE-1,NE-EMPRUNT-FLEX,2026-02-15,2026-03-01,2026-03-01,109.00,C01,P1
EM-TAUX-SPECIFIQUE-2,NE-EMPRUNT-CLASSIQUE,2026-02-28,2026-03-01,2026-03-01,30.50,C01,P1
EM-0001,NE-EMPRUNT-FLEX,2025-06-17,2025-06-27,2026-03-01,41.92,C01,P1
EM-0002,NE-EMPRUNT-FLEX,2025-12-27,2025-12-30,2026-03-01,123.08,C01,P1
EM-0003,NE-EMPRUNT-FLEX,2025-07-28,2025-08-24,2026-03-01,28.08,C01,P1
EM-0004,NE-EMPRUNT-FLEX,2025-05-30,2025-06-22,2026-03-01,63.42,C01,P1
EM-0005,NE-EMPRUNT-FLEX,2025-05-04,2025-05-18,2026-03-01,104.17,C01,P1
EM-0007,NE-EMPRUNT-CLASSIQUE,2025-12-10,2026-01-04,2026-03-01,110.17,C01,P1
EM-0008,NE-EMPRUNT-CLASSIQUE,2025-12-30,2026-01-19,2026-03-01,49.75,C01,P1
EM-0009,NE-EMPRUNT-FLEX,2025-10-07,2025-10-23,2026-03-01,92.17,C01,P1
EM-0010,NE-EMPRUNT-FLEX,2025-11-01,2025-11-11,2026-03-01,55.50,C01,P1
EM-0011,NE-EMPRUNT-FLEX,2025-05-07,2025-05-07,2026-03-01,85.42,C01,P1
