contract_id,product,state,subscription_date,effective_date,annual_premium,end_date,subscriber_id,beneficiary_code,person_id,guarantee,segment,file_rate_year_1
PT-NOUVEAU,CP-TNS-INDEMNITES,En cours,2026-02-22,2026-03-01,735,,SOUS-PT-NOUVEAU,01,PERS-PT-NOUVEAU,BASE,,
PT-STABLE,CP-TNS-INDEMNITES,En cours,2025-10-18,2025-11-01,1190,,SOUS-PT-STABLE,01,PERS-PT-STABLE,BASE,,
PT-SANS-EFFET,CP-TNS-INDEMNITES,Sans effet,2026-01-09,2026-02-01,1657,,SOUS-PT-SANS-EFFET,01,PERS-PT-SANS-EFFET,BASE,,
PT-RESILIE,CP-TNS-INDEMNITES,Résilié,2025-08-26,2025-09-01,1560,2026-03-15,SOUS-PT-RESILIE,01,PERS-PT-RESILIE,BASE,,
PT-RESILIE-SANS-HISTORIQUE,CP-TNS-DECES,Résilié,2025-11-03,2025-12-01,1157,2026-03-10,SOUS-PT-RESILIE-SANS-HISTORIQUE,01,PERS-PT-RESILIE-SANS-HISTORIQUE,BASE,,
PT-ANOMALIE,CP-TNS-INDEMNITES,Résilié,2025-12-22,2026-01-01,1003,2026-03-01,SOUS-PT-ANOMALIE,01,PERS-PT-ANOMALIE,BASE,,
PT-ANCIEN,CP-TNS-DECES,En cours,2024-12-28,2025-01-15,1238,,SOUS-PT-ANCIEN,01,PERS-PT-ANCIEN,BASE,,
PT-TROP-ANCIEN,CP-TNS-INDEMNITES,En cours,2024-08-05,2024-09-01,872,,SOUS-PT-TROP-ANCIEN,01,PERS-PT-TROP-ANCIEN,BASE,,
PT-HAUSSE-PRIME,CP-TNS-DECES,En cours,2025-12-22,2026-01-01,1171.50,,SOUS-PT-HAUSSE-PRIME,01,PERS-PT-HAUSSE-PRIME,BASE,,
PT-BAISSE-PRIME,CP-TNS-INDEMNITES,En cours,2025-12-31,2026-01-01,547.40,,SOUS-PT-BAISSE-PRIME,01,PERS-PT-BAISSE-PRIME,BASE,,
PT-DUREE-NULLE,CP-TNS-INDEMNITES,En cours,2026-02-26,2026-03-05,1077,2026-03-05,SOUS-PT-DUREE-NULLE,01,PERS-PT-DUREE-NULLE,BASE,,
PT-PRODUIT-INCONNU,PRODUIT-INCONNU,En cours,2026-01-31,2026-03-01,1156,,SOUS-PT-PRODUIT-INCONNU,01,PERS-PT-PRODUIT-INCONNU,BASE,,
PT-0001,CP-TNS-DECES,En cours,2025-05-26,2025-05-28,1022,,SOUS-PT-0001,01,PERS-PT-0001,BASE,,
PT-0002,CP-TNS-INDEMNITES,Résilié,2025-10-22,2025-11-01,1760,2026-03-26,SOUS-PT-0002,01,PERS-PT-0002,BASE,,
PT-0003,CP-TNS-DECES,En cours,2026-01-01,2026-01-14,1532,,SOUS-PT-0003,01,PERS-PT-0003,BASE,,
PT-0004,CP-TNS-INDEMNITES,En cours,2025-10-26,2025-11-10,1672,,SOUS-PT-0004,01,PERS-PT-0004,BASE,,
PT-0005,CP-TNS-INDEMNITES,En cours,2025-08-17,2025-08-30,1727,,SOUS-PT-0005,01,PERS-PT-0005,BASE,,
PT-0006,CP-TNS-DECES,En cours,2025-04-30,2025-05-02,1381,,SOUS-PT-0006,01,PERS-PT-0006,BASE,,
PT-0007,CP-TNS-INDEMNITES,Résilié,2025-06-24,2025-07-23,665,2026-03-13,SOUS-PT-0007,01,PERS-PT-0007,BASE,,
PT-0008,CP-TNS-DECES,En cours,2025-05-04,2025-06-01,561,,SOUS-PT-0008,01,PERS-PT-0008,BASE,,
PT-0009,CP-TNS-DECES,En cours,2025-08-07,2025-09-04,1788,,SOUS-PT-0009,01,PERS-PT-0009,BASE,,
PT-0010,CP-TNS-INDEMNITES,En cours,2025-08-27,2025-09-23,773,,SOUS-PT-0010,01,PERS-PT-0010,BASE,,
PT-0011,CP-TNS-INDEMNITES,Résilié,2025-10-28,2025-11-12,1758,2026-03-07,SOUS-PT-0011,01,PERS-PT-0011,BASE,,
PT-0012,CP-TNS-INDEMNITES,En cours,2025-06-28,2025-06-29,656,,SOUS-PT-0012,01,PERS-PT-0012,BASE,,
PT-0013,CP-TNS-DECES,Suspendu,2026-01-10,2026-01-14,530,,SOUS-PT-0013,01,PERS-PT-0013,BASE,,
PT-0014,CP-TNS-DECES,Suspendu,2026-01-15,2026-01-21,783,,SOUS-PT-0014,01,PERS-PT-0014,BASE,,
PT-0015,CP-TNS-INDEMNITES,En cours,2025-08-28,2025-09-07,935,,SOUS-PT-0015,01,PERS-PT-0015,BASE,,
PT-0016,CP-TNS-INDEMNITES,Suspendu,2025-11-17,2025-12-17,678,,SOUS-PT-0016,01,PERS-PT-0016,BASE,,
PT-0017,CP-TNS-DECES,En cours,2025-07-04,2025-08-02,528,,SOUS-PT-0017,01,PERS-PT-0017,BASE,,
PT-0018,CP-TNS-INDEMNITES,En cours,2025-10-29,2025-11-18,1301,,SOUS-PT-0018,01,PERS-PT-0018,BASE,,
PT-0019,CP-TNS-INDEMNITES,Résilié,2025-11-26,2025-12-07,1013,2026-03-05,SOUS-PT-0019,01,PERS-PT-0019,BASE,,
PT-0020,CP-TNS-DECES,En cours,2026-01-19,2026-01-25,1793,,SOUS-PT-0020,01,PERS-PT-0020,BASE,,
PT-0021,CP-TNS-INDEMNITES,En cours,2026-01-02,2026-01-09,1093,,SOUS-PT-0021,01,PERS-PT-0021,BASE,,
PT-0022,CP-TNS-DECES,En cours,2025-06-25,2025-07-21,468,,SOUS-PT-0022,01,PERS-PT-0022,BASE,,
PT-0023,CP-TNS-DECES,En cours,2025-11-08,2025-11-17,537,,SOUS-PT-0023,01,PERS-PT-0023,BASE,,
PT-0024,CP-TNS-INDEMNITES,En cours,2025-10-19,2025-11-07,818,,SOUS-PT-0024,01,PERS-PT-0024,BASE,,
PT-0025,CP-TNS-DECES,En cours,2025-12-05,2026-01-01,1258,,SOUS-PT-0025,01,PERS-PT-0025,BASE,,
PT-0026,CP-TNS-DECES,En cours,2026-02-24,2026-02-27,753,,SOUS-PT-0026,01,PERS-PT-0026,BASE,,
PT-0027,CP-TNS-DECES,En cours,2026-01-28,2026-02-16,642,,SOUS-PT-0027,01,PERS-PT-0027,BASE,,
PT-0028,CP-TNS-INDEMNITES,En cours,2026-03-12,2026-03-20,1107,,SOUS-PT-0028,01,PERS-PT-0028,BASE,,
PT-0029,CP-TNS-DECES,En cours,2026-01-23,2026-02-16,761,,SOUS-PT-0029,01,PERS-PT-0029,BASE,,
PT-0030,CP-TNS-INDEMNITES,En cours,2026-03-12,2026-03-22,640,,SOUS-PT-0030,01,PERS-PT-0030,BASE,,
PT-0031,CP-TNS-DECES,En cours,2026-02-15,2026-02-22,1672,,SOUS-PT-0031,01,PERS-PT-0031,BASE,,
PT-0032,CP-TNS-INDEMNITES,En cours,2026-03-22,2026-03-26,533,,SOUS-PT-0032,01,PERS-PT-0032,BASE,,
PT-0033,CP-TNS-INDEMNITES,En cours,2026-03-08,2026-03-27,1625,,SOUS-PT-0033,01,PERS-PT-0033,BASE,,
