contract_id,product,subscription_date,effective_date,period_start,amount_excl_tax,movement,premium_type
PT-NOUVEAU,CP-TNS-INDEMNITES,2026-02-11,2026-03-01,2026-03-01,61.25,C01,P1
PT-STABLE,CP-TNS-INDEMNITES,2025-10-22,2025-11-01,2026-03-01,99.17,C01,P1
PT-ANCIEN,CP-TNS-DECES,2024-12-30,2025-01-15,2026-03-01,103.17,C01,P1
PT-TROP-ANCIEN,CP-TNS-INDEMNITES,2024-08-26,2024-09-01,2026-03-01,72.67,C01,P1
PT-HAUSSE-PRIME,CP-TNS-DECES,2025-12-18,2026-01-01,2026-03-01,97.63,C01,P1
PT-BAISSE-PRIME,CP-TNS-INDEMNITES,2025-12-08,2026-01-01,2026-03-01,45.62,C01,P1
PT-PRODUIT-INCONNU,PRODUIT-INCONNU,2026-02-17,2026-03-01,2026-03-01,96.33,C01,P1
PT-0001,CP-TNS-DECES,2025-05-02,2025-05-28,2026-03-01,85.17,C01,P1
PT-0003,CP-TNS-DECES,2025-12-28,2026-01-14,2026-03-01,127.67,C01,P1
PT-0004,CP-TNS-INDEMNITES,2025-10-12,2025-11-10,2026-03-01,139.33,C01,P1
PT-0005,CP-TNS-INDEMNITES,2025-08-13,2025-08-30,2026-03-01,143.92,C01,P1
PT-0006,CP-TNS-DECES,2025-04-17,2025-05-02,2026-03-01,115.08,C01,P1
PT-0008,CP-TNS-DECES,2025-05-13,2025-06-01,2026-03-01,46.75,C01,P1
PT-0009,CP-TNS-DECES,2025-08-08,2025-09-04,2026-03-01,149.00,C01,P1
PT-0010,CP-TNS-INDEMNITES,2025-08-28,2025-09-23,2026-03-01,64.42,C01,P1
PT-0012,CP-TNS-INDEMNITES,2025-06-04,2025-06-29,2026-03-01,54.67,C01,P1
PT-0013,CP-TNS-DECES,2025-12-19,2026-01-14,2026-03-01,44.17,C01,P1
PT-0014,CP-TNS-DECES,2026-01-14,2026-01-21,2026-03-01,65.25,C01,P1
PT-0015,CP-TNS-INDEMNITES,2025-08-09,2025-09-07,2026-03-01,77.92,C01,P1
PT-0016,CP-TNS-INDEMNITES,2025-12-02,2025-12-17,2026-03-01,56.50,C01,P1
PT-0017,CP-TNS-DECES,2025-07-10,2025-08-02,2026-03-01,44.00,C01,P1
PT-0018,CP-TNS-INDEMNITES,2025-11-16,2025-11-18,2026-03-01,108.42,C01,P1
PT-0020,CP-TNS-DECES,2026-01-02,2026-01-25,2026-03-01,149.42,C01,P1
PT-0021,CP-TNS-INDEMNITES,2026-01-04,2026-01-09,2026-03-01,91.08,C01,P1
PT-0022,CP-TNS-DECES,2025-06-26,2025-07-21,2026-03-01,39.00,C01,P1
PT-0023,CP-TNS-DECES,2025-11-03,2025-11-17,2026-03-01,44.75,C01,P1
PT-0024,CP-TNS-INDEMNITES,2025-10-08,2025-11-07,2026-03-01,68.17,C01,P1
PT-0025,CP-TNS-DECES,2025-12-31,2026-01-01,2026-03-01,104.83,C01,P1
PT-0026,CP-TNS-DECES,2026-02-20,2026-02-27,2026-03-01,62.75,C01,P1
PT-0027,CP-TNS-DECES,2026-02-05,2026-02-16,2026-03-01,53.50,C01,P1
PT-0029,CP-TNS-DECES,2026-01-20,2026-02-16,2026-03-01,63.42,C01,P1
PT-0031,CP-TNS-DECES,2026-01-31,2026-02-22,2026-03-01,139.33,C01,P1
PT-PORTEFEUILLE-001,CP-TNS-INDEMNITES,2022-06-11,2022-06-27,2026-03-01,116.92,C01,P1
PT-PORTEFEUILLE-002,CP-TNS-INDEMNITES,2024-05-04,2024-05-30,2026-03-01,128.00,C01,P1
PT-PORTEFEUILLE-003,CP-TNS-INDEMNITES,2022-05-10,2022-06-04,2026-03-01,67.00,C01,P1
PT-PORTEFEUILLE-004,CP-TNS-INDEMNITES,2023-06-10,2023-07-04,2026-03-01,38.50,C01,P1
PT-PORTEFEUILLE-005,CP-TNS-DECES,2024-07-18,2024-07-29,2026-03-01,70.42,C01,P1
PT-PORTEFEUILLE-006,CP-TNS-INDEMNITES,2023-09-10,2023-10-06,2026-03-01,98.00,C01,P1
PT-PORTEFEUILLE-007,CP-TNS-DECES,2024-10-15,2024-11-05,2026-03-01,98.67,C01,P1
PT-PORTEFEUILLE-008,CP-TNS-INDEMNITES,2022-06-23,2022-07-15,2026-03-01,61.33,C01,P1
PT-PORTEFEUILLE-009,CP-TNS-INDEMNITES,2022-11-01,2022-11-15,2026-03-01,73.00,C01,P1
PT-PORTEFEUILLE-010,CP-TNS-DECES,2022-10-26,2022-11-13,2026-03-01,105.75,C01,P1
PT-PORTEFEUILLE-011,CP-TNS-INDEMNITES,2024-09-02,2024-09-23,2026-03-01,76.50,C01,P1
PT-PORTEFEUILLE-012,CP-TNS-INDEMNITES,2022-07-08,2022-07-18,2026-03-01,118.75,C01,P1
PT-PORTEFEUILLE-013,CP-TNS-DECES,2023-04-21,2023-05-13,2026-03-01,101.17,C01,P1
PT-PORTEFEUILLE-014,CP-TNS-INDEMNITES,2023-08-09,2023-08-24,2026-03-01,149.00,C01,P1
PT-PORTEFEUILLE-015,CP-TNS-INDEMNITES,2023-10-21,2023-10-24,2026-03-01,42.67,C01,P1
PT-ANNULATION,CP-TNS-INDEMNITES,2023-04-30,2023-05-01,2026-03-01,-75.00,A01,P1
PT-EXTOURNE,CP-TNS-INDEMNITES,2023-04-01,2023-05-01,2026-03-01,-50.00,E01,P1
PT-COTISATION-P2,CP-TNS-INDEMNITES,2023-04-19,2023-05-01,2026-03-01,100.00,C01,P2
