contract_id,product,state,subscription_date,effective_date,annual_premium,end_date,subscriber_id,beneficiary_code,person_id,guarantee,segment,file_rate_year_1
SI-STABLE,NS-SENIOR,En cours,2025-10-24,2025-11-01,2179,,SOUS-SI-STABLE,01,PERS-SI-STABLE,BASE,,
SI-SANS-EFFET,NS-ESSENTIEL,En cours,2026-01-22,2026-02-01,1964,,SOUS-SI-SANS-EFFET,01,PERS-SI-SANS-EFFET,BASE,,
SI-RESILIE,NS-CONFORT,En cours,2025-08-21,2025-09-01,2089,,SOUS-SI-RESILIE,01,PERS-SI-RESILIE,BASE,,
SI-ANOMALIE,NS-ESSENTIEL,Sans effet,2025-12-26,2026-01-01,682,,SOUS-SI-ANOMALIE,01,PERS-SI-ANOMALIE,BASE,,
SI-HAUSSE-PRIME,NS-SENIOR,En cours,2025-12-08,2026-01-01,1606,,SOUS-SI-HAUSSE-PRIME,01,PERS-SI-HAUSSE-PRIME,BASE,,
SI-BAISSE-PRIME,NS-ESSENTIEL,En cours,2025-12-18,2026-01-01,1779,,SOUS-SI-BAISSE-PRIME,01,PERS-SI-BAISSE-PRIME,BASE,,
SI-0001,NS-SENIOR,Mis en demeure,2025-07-29,2025-08-08,2066,,SOUS-SI-0001,01,PERS-SI-0001,BASE,,
SI-0002,NS-CONFORT,Mis en demeure,2025-06-20,2025-06-25,618,,SOUS-SI-0002,01,PERS-SI-0002,BASE,,
SI-0003,NS-CONFORT,Suspendu,2025-08-05,2025-08-24,2261,,SOUS-SI-0003,01,PERS-SI-0003,BASE,,
SI-0004,NS-CONFORT,Suspendu,2025-10-11,2025-10-13,715,,SOUS-SI-0004,01,PERS-SI-0004,BASE,,
SI-0005,NS-CONFORT,En cours,2026-01-09,2026-01-17,873,,SOUS-SI-0005,01,PERS-SI-0005,BASE,,
SI-0006,NS-SENIOR,Suspendu,2026-01-05,2026-01-13,1945,,SOUS-SI-0006,01,PERS-SI-0006,BASE,,
SI-0007,NS-SENIOR,Mis en demeure,2025-09-20,2025-10-05,1182,,SOUS-SI-0007,01,PERS-SI-0007,BASE,,
SI-0008,NS-ESSENTIEL,Mis en demeure,2025-08-06,2025-08-22,1795,,SOUS-SI-0008,01,PERS-SI-0008,BASE,,
SI-0009,NS-ESSENTIEL,En cours,2025-12-04,2025-12-30,1879,,SOUS-SI-0009,01,PERS-SI-0009,BASE,,
SI-0010,NS-ESSENTIEL,En cours,2025-07-28,2025-08-17,936,,SOUS-SI-0010,01,PERS-SI-0010,BASE,,
SI-0011,NS-ESSENTIEL,Suspendu,2025-12-11,2025-12-30,1808,,SOUS-SI-0011,01,PERS-SI-0011,BASE,,
SI-0012,NS-ESSENTIEL,En cours,2025-06-25,2025-07-22,1136,,SOUS-SI-0012,01,PERS-SI-0012,BASE,,
SI-0013,NS-ESSENTIEL,En cours,2025-05-12,2025-06-03,1596,,SOUS-SI-0013,01,PERS-SI-0013,BASE,,
SI-0014,NS-ESSENTIEL,En cours,2026-01-08,2026-02-01,1752,,SOUS-SI-0014,01,PERS-SI-0014,BASE,,
SI-0015,NS-CONFORT,En cours,2025-09-09,2025-09-11,925,,SOUS-SI-0015,01,PERS-SI-0015,BASE,,
SI-0016,NS-CONFORT,En cours,2026-01-18,2026-01-30,1894,,SOUS-SI-0016,01,PERS-SI-0016,BASE,,
SI-0017,NS-ESSENTIEL,En cours,2025-09-13,2025-09-15,1395,,SOUS-SI-0017,01,PERS-SI-0017,BASE,,
SI-0018,NS-ESSENTIEL,En cours,2025-05-21,2025-06-01,693,,SOUS-SI-0018,01,PERS-SI-0018,BASE,,
SI-0019,NS-ESSENTIEL,En cours,2025-08-20,2025-09-15,836,,SOUS-SI-0019,01,PERS-SI-0019,BASE,,
SI-0020,NS-SENIOR,En cours,2025-07-20,2025-07-23,1795,,SOUS-SI-0020,01,PERS-SI-0020,BASE,,
SI-0021,NS-ESSENTIEL,Mis en demeure,2025-11-29,2025-12-12,844,,SOUS-SI-0021,01,PERS-SI-0021,BASE,,
SI-0022,NS-SENIOR,En cours,2025-07-21,2025-07-21,1934,,SOUS-SI-0022,01,PERS-SI-0022,BASE,,
SI-0023,NS-SENIOR,En cours,2025-05-07,2025-05-29,693,,SOUS-SI-0023,01,PERS-SI-0023,BASE,,
SI-0024,NS-CONFORT,En cours,2025-07-26,2025-08-11,2106,,SOUS-SI-0024,01,PERS-SI-0024,BASE,,
SI-0025,NS-CONFORT,En cours,2025-12-07,2025-12-07,812,,SOUS-SI-0025,01,PERS-SI-0025,BASE,,
