contract_id,product,subscription_date,effective_date,period_start,amount_excl_tax,movement,premium_type
SI-NOUVEAU,NS-CONFORT,2026-02-15,2026-03-01,2026-03-01,127.17,C01,P1
SI-STABLE,NS-SENIOR,2025-10-22,2025-11-01,2026-03-01,181.58,C01,P1
SI-ANCIEN,NS-ESSENTIEL,2025-01-08,2025-01-15,2026-03-01,195.92,C01,P1
SI-TROP-ANCIEN,NS-CONFORT,2024-08-18,2024-09-01,2026-03-01,178.83,C01,P1
SI-HAUSSE-PRIME,NS-SENIOR,2025-12-16,2026-01-01,2026-03-01,147.22,C01,P1
SI-BAISSE-PRIME,NS-ESSENTIEL,2025-12-30,2026-01-01,2026-03-01,126.01,C01,P1
SI-PRODUIT-INCONNU,PRODUIT-INCONNU,2026-02-08,2026-03-01,2026-03-01,158.75,C01,P1
SI-TAUX-SPECIFIQUE-1,NS-SENIOR,2026-03-01,2026-03-01,2026-03-01,177.75,C01,P1
SI-0001,NS-SENIOR,2025-07-30,2025-08-08,2026-03-01,172.17,C01,P1
SI-0002,NS-CONFORT,2025-06-06,2025-06-25,2026-03-01,51.50,C01,P1
SI-0003,NS-CONFORT,2025-07-26,2025-08-24,2026-03-01,188.42,C01,P1
SI-0005,NS-CONFORT,2025-12-29,2026-01-17,2026-03-01,72.75,C01,P1
SI-0006,NS-SENIOR,2025-12-22,2026-01-13,2026-03-01,162.08,C01,P1
SI-0007,NS-SENIOR,2025-10-05,2025-10-05,2026-03-01,98.50,C01,P1
SI-0008,NS-ESSENTIEL,2025-08-10,2025-08-22,2026-03-01,149.58,C01,P1
SI-0011,NS-ESSENTIEL,2025-12-21,2025-12-30,2026-03-01,150.67,C01,P1
SI-0012,NS-ESSENTIEL,2025-07-03,2025-07-22,2026-03-01,94.67,C01,P1
SI-0013,NS-ESSENTIEL,2025-05-23,2025-06-03,2026-03-01,133.00,C01,P1
SI-0014,NS-ESSENTIEL,2026-01-13,2026-02-01,2026-03-01,146.00,C01,P1
SI-0015,NS-CONFORT,2025-08-12,2025-09-11,2026-03-01,77.08,C01,P1
SI-0016,NS-CONFORT,2026-01-18,2026-01-30,2026-03-01,157.83,C01,P1
SI-0017,NS-ESSENTIEL,2025-09-06,2025-09-15,2026-03-01,116.25,C01,P1
SI-0018,NS-ESSENTIEL,2025-05-20,2025-06-01,2026-03-01,57.75,C01,P1
SI-0019,NS-ESSENTIEL,2025-09-01,2025-09-15,2026-03-01,69.67,C01,P1
SI-0020,NS-SENIOR,2025-06-28,2025-07-23,2026-03-01,149.58,C01,P1
SI-0021,NS-ESSENTIEL,2025-11-25,2025-12-12,2026-03-01,70.33,C01,P1
SI-0022,NS-SENIOR,2025-07-12,2025-07-21,2026-03-01,161.17,C01,P1
SI-0024,NS-CONFORT,2025-07-15,2025-08-11,2026-03-01,175.50,C01,P1
SI-0027,NS-ESSENTIEL,2026-02-19,2026-02-28,2026-03-01,90.58,C01,P1
SI-0028,NS-CONFORT,2026-02-20,2026-03-01,2026-03-01,128.58,C01,P1
SI-PORTEFEUILLE-001,NS-ESSENTIEL,2022-12-15,2022-12-24,2026-03-01,141.00,C01,P1
SI-PORTEFEUILLE-002,NS-SENIOR,2024-05-05,2024-05-25,2026-03-01,128.00,C01,P1
SI-PORTEFEUILLE-003,NS-CONFORT,2024-08-26,2024-08-30,2026-03-01,150.83,C01,P1
SI-PORTEFEUILLE-004,NS-ESSENTIEL,2024-02-02,2024-02-21,2026-03-01,136.08,C01,P1
SI-PORTEFEUILLE-005,NS-ESSENTIEL,2024-04-14,2024-04-27,2026-03-01,118.33,C01,P1
SI-PORTEFEUILLE-006,NS-SENIOR,2022-07-07,2022-08-02,2026-03-01,143.42,C01,P1
SI-PORTEFEUILLE-007,NS-CONFORT,2022-11-07,2022-11-15,2026-03-01,78.50,C01,P1
SI-PORTEFEUILLE-008,NS-CONFORT,2024-03-31,2024-04-29,2026-03-01,106.50,C01,P1
SI-PORTEFEUILLE-009,NS-ESSENTIEL,2022-09-22,2022-10-10,2026-03-01,122.08,C01,P1
SI-PORTEFEUILLE-010,NS-ESSENTIEL,2023-06-14,2023-07-14,2026-03-01,192.50,C01,P1
SI-PORTEFEUILLE-011,NS-CONFORT,2022-09-03,2022-09-09,2026-03-01,65.33,C01,P1
SI-PORTEFEUILLE-012,NS-ESSENTIEL,2024-03-24,2024-04-09,2026-03-01,175.58,C01,P1
SI-PORTEFEUILLE-013,NS-CONFORT,2024-05-22,2024-05-26,2026-03-01,144.50,C01,P1
SI-PORTEFEUILLE-014,NS-SENIOR,2023-07-06,2023-08-04,2026-03-01,109.92,C01,P1
SI-PORTEFEUILLE-015,NS-CONFORT,2024-10-25,2024-10-25,2026-03-01,190.50,C01,P1
SI-ANNULATION,NS-ESSENTIEL,2023-04-27,2023-05-01,2026-03-01,-75.00,A01,P1
SI-EXTOURNE,NS-ESSENTIEL,2023-04-04,2023-05-01,2026-03-01,-50.00,E01,P1
